uid,nombreusuario,username,correo,direccionusuario,fechainicio,fechatermino,hid,nombrehotel,direccionhotel,telefono,precionoche,nombreciudad
36,Jessica Graham,JessicaGraham,Jessica.Graham@gmail.com,"65431 Harris Plaza Apt. 658 Hillhaven, NV 54338",2018-07-27,2018-07-28,10,Hilton Florence Metropole,"518 Hall Dam New Jesse, NM 01087",233-347-518,30,Florencia
12,Mrs. Jennifer Herrera,Mrs.Jennifer,Mrs..Jennifer@gmail.com,"789 Cynthia Canyon Suite 606 Robintown, MA 16782",2019-01-21,2019-01-27,13,CitizenM Paris,"833 Flores Key Suite 707 South Elizabethchester, IA 08393",799-491-215,50,París
44,Oscar Caldwell,OscarCaldwell,Oscar.Caldwell@gmail.com,"982 Andrew Underpass Suite 779 New Michaelshire, OH 97878",2018-05-18,2018-05-25,20,The Sanctuary House Hotel,"1281 Robert Mountain Schneidermouth, HI 23898",698-634-912,70,Westminster
32,Darren Gray,DarrenGray,Darren.Gray@gmail.com,"95058 Powers Island Johnsonside, WA 89838",2020-01-02,2020-01-12,15,Le cocon de Leon,"8927 Hurst Harbor Apt. 156 Timothyfort, CA 72308",485-531-155,55,Nancy
5,Mark Dalton,MarkDalton,Mark.Dalton@gmail.com,"876 Gabriel Plaza Port Brandonburgh, DC 44886",2019-07-19,2019-07-21,3,Domo Vaticano,"7802 Scott Garden Apt. 827 Jerryport, WI 13545",647-252-126,30,Roma
35,James Brooks,JamesBrooks,James.Brooks@gmail.com,"701 Tonya Hills Brittanyport, NJ 91013",2018-01-23,2018-02-04,9,Hotel Jane,"65223 Valdez Viaduct Lake Seanview, WY 97324",214-454-587,23,Florencia
17,Vincent Leonard,VincentLeonard,Vincent.Leonard@gmail.com,"08849 Kevin Rapids New Baileytown, WY 45966",2018-06-27,2018-07-10,18,PitufiHotel,"PSC 3268, Box 6667 APO AE 63637",241-126-819,20,Antwerp
49,Aaron Estrada,AaronEstrada,Aaron.Estrada@gmail.com,"48764 Clark Ramp Bradfordmouth, UT 55780",2019-08-03,2019-08-17,15,Le cocon de Leon,"8927 Hurst Harbor Apt. 156 Timothyfort, CA 72308",485-531-155,55,Nancy
24,Nicholas Dunn,NicholasDunn,Nicholas.Dunn@gmail.com,"61079 Thomas Shore Gardnerton, IN 15710",2020-11-27,2020-11-28,2,Palazzo Coliseo,"8183 Michael Glen Apt. 437 Petersonland, VA 66579",771-764-467,43,Roma
12,Mrs. Jennifer Herrera,Mrs.Jennifer,Mrs..Jennifer@gmail.com,"789 Cynthia Canyon Suite 606 Robintown, MA 16782",2018-01-05,2018-01-15,20,The Sanctuary House Hotel,"1281 Robert Mountain Schneidermouth, HI 23898",698-634-912,70,Westminster
